id,name,price,category,url,shop,photo,composition,tags,portion_g,kcal_100g,protein_100g,fat_100g,carb_100g
sup-gorokhovyy-s-kopchyenostyami-1kg-72947,"Суп ""Гороховый"" с копчёностями, 1кг",518,Готовая еда,https://vkusvill.ru/goods/sup-gorokhovyy-s-kopchyenostyami-1kg-72947.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       ГЛОБАЛ ФУД ООО: вода питьевая, картофель свежий, бульон говяжий процеженный (вода питьевая, говядина (произведено из замороженного сырья), лук репчатый свежий, морковь столовая свежая, перец черный горошком дробленный, петрушка свежа",,100.0г,89.7,3.4,6.5,4.4
salat-grin-enerdzhi-15896,"Салат ""Грин Энерджи""",228,Готовая еда,https://vkusvill.ru/goods/salat-grin-enerdzhi-15896.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Салат, который отвечает всем ЗОЖ-критериям. В его основе — запечённая куриная грудка и отварное яйцо, а также сочный Айсберг в качестве витаминной добавки. Над сбалансированным и интересным вкусом потрудились другие «участники» состава: шампиньоны, оливки, зелень и кунжут. А завершает эту аппетитную композицию заправка с соевым соусом и цветочным мёдом. В зависимости от производителя состав салата может незначительно разниться.",,150.0г,147.4,8.5,10.6,4.5
bliny-s-semgoy-150-g-36843,"Блины с семгой, 150 г",358,Готовая еда,https://vkusvill.ru/goods/bliny-s-semgoy-150-g-36843.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       ЙУМИ ООО: блины (молоко питьевое ультрапастеризованное м. д. ж. 3,2 %, мука пшеничная хлебопекарная высшего сорта, яйцо куриное пищевое, масло подсолнечное рафинированное дезодорированное, сахар, соль пищевая), начинка (лосось атлант",,150.0г,199.0,8.3,9.0,25.2
salat-svekolnyy-s-gretskim-orekhom-38977,Салат свекольный с грецким орехом,198,Готовая еда,https://vkusvill.ru/goods/salat-svekolnyy-s-gretskim-orekhom-38977.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       ИНГРЕДИКА ООО: свёкла столовая отварная, майонез м.д.ж. 50% (масло подсолнечное рафинированное дезодорированное, вода питьевая, сухой яичный меланж, сахар, соль пищевая, кислота уксусная пищевая 70%, масло эфирное горчичное), ядро гр",,200.0г,116.3,2.1,7.5,10.1
salat-vinegret-bez-kartofelya-25360,Салат Винегрет без картофеля,188,Готовая еда,https://vkusvill.ru/goods/salat-vinegret-bez-kartofelya-25360.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       свёкла столовая отварная, капуста маринованная (капуста белокочанная свежая, масло подсолнечное рафинированное дезодорированное, соль пищевая, сахар, регулятор кислотности - уксус столовый 9%, перец черный горошек, лавровый лист), мо",,150.0г,107.2,1.6,7.2,9.0
salat-seld-pod-shuboy-180-g-25292,"Салат ""Сельдь под шубой"", 180 г",227,Готовая еда,https://vkusvill.ru/goods/salat-seld-pod-shuboy-180-g-25292.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       филе сельди слабосоленое в масле (филе сельди тихоокеанской (изготовлено из мороженого сырья), масло подсолнечное рафинированное дезодорированное, консервант – сорбиновая кислота, вода питьевая, сахар, соль пищевая), картофель отварн",,180.0г,160.6,5.0,67,9.5
kasha-pshennaya-klassicheskaya-480-g-100807,"Каша пшенная классическая, 480 г",268,Готовая еда,https://vkusvill.ru/goods/kasha-pshennaya-klassicheskaya-480-g-100807.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Молоко питьевое  ультрапастеризованное м.д.ж. 3,2 %, вода питьевая, крупа пшено (шлифованное), масло сливочное м.д.ж. 82,5 %, сахар, соль пищевая. Продукция производится на предприятии, где используются аллергены: злаки, содержащие г",,480.0г,100.6,2.6,3.8,14
salat-iz-svekly-s-chernoslivom-i-gretskimi-orekhami-79208,Салат из свеклы с черносливом и грецкими орехами,188,Готовая еда,https://vkusvill.ru/goods/salat-iz-svekly-s-chernoslivom-i-gretskimi-orekhami-79208.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Свекла столовая отварная, масло подсолнечное рафинированное дезодорированное, слива сушеная (чернослив), ядра грецкого ореха обжаренные, чеснок свежий, соль пищевая, перец черный молотый.  Продукция производится на предприятии, где и",,150.0г,158.2,3.7,9.8,13.8
salat-iz-soevoy-sparzhi-s-ovoshchami-marinovannyy-po-koreyski-104308,Салат из соевой спаржи с овощами маринованный по-корейски,225,Готовая еда,https://vkusvill.ru/goods/salat-iz-soevoy-sparzhi-s-ovoshchami-marinovannyy-po-koreyski-104308.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       спаржа соевая (соевые бобы, вода питьевая), вода питьевая, масло подсолнечное рафинированное дезодорированное, грибы муэр отварные, перец сладкий свежий, морковь столовая свежая, соевый соус (вода питьевая, соевые бобы, соль пищевая,",,150.0г,223,15,15,7
bliny-s-kuritsey-v-slivochnom-souse-34570,Блины с курицей в сливочном соусе,255,Готовая еда,https://vkusvill.ru/goods/bliny-s-kuritsey-v-slivochnom-souse-34570.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Для блинного теста используем муку высшего сорта. Состав проверен: нет усилителей вкуса, консервантов и антибиотиков",,160.0г,228.2,10.3,11.0,22.0
