id;name;category;kcal_100g;protein_100g;fat_100g;carb_100g;portion_g;price;shop;tags;composition;url;photo
shchi-iz-svezhey-kapusty-postnye-89299.html;Щи из свежей капусты постные;Готовая еда;24.4;;;;;198.0;vkusvill;;ит постная закуска из нашего ассортимента — икра грибная с тостами;https://vkusvill.ru/goods/shchi-iz-svezhey-kapusty-postnye-89299.html;
veganskie-i-postnye-blyuda;Веганские и постные блюда;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/veganskie-i-postnye-blyuda/?page=2&PAGEN_1=3;
pirozhok-s-zelenyu-i-yaytsom-2-sht-112661.html;Пирожок с зеленью и яйцом, 2 шт;Готовая еда;301.8;;;;;148.0;vkusvill;;Состав                                                                                                                                                       Тесто (мука пшеничная хлебопекарная высшего сорта, вода питьевая, масло подсолнечное рафинированное дезодорированное, сахар, соль пищевая, дрожжи хлебопекарные сухие), начинка (яйцо куриное пищевое отварное, масло подсолнечное рафинированное дезодорированное, масло сливочное м;https://vkusvill.ru/goods/pirozhok-s-zelenyu-i-yaytsom-2-sht-112661.html;
gotovaya-eda;Готовая еда;Готовая еда;;4.9;;;;200.0;vkusvill;;е — знакомые овощи, но приготовленные на азиатский манер: с лёгкой пикантностью, ярким соусом кимчи и тонкими ароматами имбиря и чеснока;https://vkusvill.ru/goods/gotovaya-eda/?PAGEN_1=4;
vok-s-kuritsey-70139.html;Вок с курицей;Готовая еда;112.9;;;;;340.0;vkusvill;;Состав                                                                                                                                                       Лапша рисовая (мука рисовая, вода питьевая), филе бедра куриное, перец сладкий свежий , морковь столовая свежая, томатная паста массовая доля растворимых сухих веществ 25%, фасоль стручковая быстрозамороженная, масло подсолнечное рафинированное, соевый соус (вода питьевая, соевые бобы, пшеница, соль пищевая, сахар), чеснок сушеный, имбирь молотый, соль пищевая, перец черный молотый;https://vkusvill.ru/goods/vok-s-kuritsey-70139.html;
myaso-po-frantsuzski-s-pechenym-kartofelem-54391.html;Мясо по-французски с печеным картофелем;Готовая еда;180.6;;;;;318.0;vkusvill;;проверен: нет усилителей вкуса, консервантов, антибиотиков и заменителей молочного жира                                                                                                                                                                                                                                                                                                                                                                              О товаре                                                                                                                                                                                                                                                                                                                                                            Отзывы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                4;https://vkusvill.ru/goods/myaso-po-frantsuzski-s-pechenym-kartofelem-54391.html;
okroshka-s-kurinoy-kolbasoy-250-g-110247.html;Окрошка с куриной колбасой, 250 г;Готовая еда;72.1;;;;;358.0;vkusvill;;Состав                                                                                                                                                       Картофель отварной, огурцы свежие, колбаса куриная варёная (окорочок бескостный из мяса цыплят бройлеров, филе грудки цыплёнка-бройлера, меланж яичный жидкий пастеризованный, сыворотка молочная деминерализованная сухая, смесь пищевая (пшеничный белок, яичный белок), соль пищевая, пищевая смесь (смесь натуральных специй (амарант, паприка, перец белый, чеснок сушеный молотый,орех мускатный молотый), мальтодекстрин, ароматизатор мясной натуральный), комплексная пищевая добавка (декстроза, краситель - красный свекольный)), яйцо куриное отварное в маринаде (яйцо куриное отварное очищенное, маринад (вода питьевая, регулятор кислотности - кислота лимонная, соль пищевая)), редис свежий, укроп свежий (зелень), лук зелёный свежий, петрушка свежая (зелень);https://vkusvill.ru/goods/okroshka-s-kurinoy-kolbasoy-250-g-110247.html;
kukhnya-kavkaza;Кухня Кавказа;Готовая еда;;4.8;;;;200.0;vkusvill;;е только свежие и качественные ингредиенты, без консервантов и усилителей вкуса;https://vkusvill.ru/goods/gotovaya-eda/kukhni-mira/kukhnya-kavkaza/;
roll-s-krevetkoy-i-ogurtsom-69875.html;Ролл с креветкой и огурцом;Готовая еда;121.5;;;;;328.0;vkusvill;;проверен: нет консервантов, усилителей вкуса и искусственных красителей                                                                                                                                                                                                                                                                                                                                                                              О товаре                                                                                                                                                                                                                                                                                                                                                            Отзывы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                4;https://vkusvill.ru/goods/roll-s-krevetkoy-i-ogurtsom-69875.html;
rolly-i-sety;Роллы и сеты;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/rolly-i-sety/?page=2&PAGEN_1=3;
