id;name;category;kcal_100g;protein_100g;fat_100g;carb_100g;portion_g;price;shop;tags;composition;url;photo
salat-svekolnyy-s-gretskim-orekhom-38977.html;Салат свекольный с грецким орехом;Готовая еда;;;;;;198.0;vkusvill;;Состав                                                                                                                                                       ИНГРЕДИКА ООО: свёкла столовая отварная, майонез м;https://vkusvill.ru/goods/salat-svekolnyy-s-gretskim-orekhom-38977.html;
salat-vinegret-300-g-96749.html;Салат винегрет, 300 г;Готовая еда;;;;;;208.0;vkusvill;;без добавленного сахара, вкусоароматических усилителей и консервантов;https://vkusvill.ru/goods/salat-vinegret-300-g-96749.html;
khachapuri-po-megrelski-5-syrov-500-g-96990.html;"Хачапури по-мегрельски ""5 сыров"", 500 г";Готовая еда;;;;;;373.0;vkusvill;;Состав                                                                                                                                                       мука пшеничная хлебопекарная высшего сорта, сыр Моцарелла м;https://vkusvill.ru/goods/khachapuri-po-megrelski-5-syrov-500-g-96990.html;
pirog-osetinskiy-kartofel-s-syrom-250-g-27966.html;"Пирог осетинский ""Картофель с сыром"", 250 г";Готовая еда;;;;;;221.0;vkusvill;;Состав                                                                                                                                                       тесто дрожжевое (мука пшеничная хлебопекарная высшего сорта, молоко питьевое пастеризованное м;https://vkusvill.ru/goods/pirog-osetinskiy-kartofel-s-syrom-250-g-27966.html;
kartofel-mini-s-chesnokom-zelenyu-zapechennyy-100604.html;Картофель мини с чесноком, зеленью запеченный;Готовая еда;;;;;;308.0;vkusvill;;Состав                                                                                                                                                       Картофель мини запеченный (картофель мини свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, розмарин свежий), укроп свежий, петрушка свежая, чесночное масло (масло подсолнечное рафинированное дезодорированное, чеснок свежий) Продукция производится на предприятии, где используются аллергены: арахис, горчица, диоксид серы (сульфиты), злаки, содержащие глютен, кунжут, моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца;https://vkusvill.ru/goods/kartofel-mini-s-chesnokom-zelenyu-zapechennyy-100604.html;
bliny-i-oladi;Блины и оладьи;Готовая еда;;;;;;200.0;vkusvill;;е создают оригинальную текстуру;https://vkusvill.ru/goods/gotovaya-eda/zavtraki/bliny-i-oladi/;
zavtraki;Завтраки;Готовая еда;;;;;;200.0;vkusvill;;е только творог, мука, яйцо и немного сахара — ничего лишнего;https://vkusvill.ru/goods/gotovaya-eda/zavtraki/?page=2&PAGEN_1=6;
supy;Супы;Готовая еда;;;;;;200.0;vkusvill;;ом;https://vkusvill.ru/goods/gotovaya-eda/supy/?page=2&PAGEN_1=2;
smyerrebryed-s-tuntsom-i-marinovannoy-svekloy-110343.html;Смёрребрёд с тунцом и маринованной свеклой;Готовая еда;;;;;;287.0;vkusvill;;Состав                                                                                                                                                       хлеб датский (мука ржаная обдирная, мука пшеничная цельнозерновая, опара пшеничная (мука пшеничная хлебопекарная высшего сорта, вода питьевая, дрожжи хлебопекарные прессованные), закваска ржаная (мука ржаная обдирная, вода питьевая, бактериальная закваска), семена подсолнечника очищенные, хлопья овсяные, соль пищевая, сахар, вода питьевая), тунец консервированный (тунец полосатый кусочками, вода питьевая, соль пищевая), майонез м;https://vkusvill.ru/goods/smyerrebryed-s-tuntsom-i-marinovannoy-svekloy-110343.html;
kesadilya-s-kuritsey-220-g-95427.html;Кесадилья с курицей, 220 г;Готовая еда;;;;;;298.0;vkusvill;;Состав                                                                                                                                                       тортилья пшеничная (мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль пищевая), сыр моцарелла м;https://vkusvill.ru/goods/kesadilya-s-kuritsey-220-g-95427.html;
sup-s-kurinymi-frikadelkami-i-pastoy-zvezdochki-61602.html;"Суп с куриными фрикадельками и пастой ""Звездочки""";Готовая еда;;;;;;188.0;vkusvill;;"Состав                                                                                                                                                       бульон куриный процеженный (вода питьевая, мясо кур, перец чёрный горошком, лавровый лист), картофель свежий, фрикадельки куриные (филе куриной грудки, яйцо куриное пищевое, соль пищевая, чеснок сушёный молотый, перец чёрный молотый), морковь столовая свежая, макаронные изделия ""звездочки"" (мука из твёрдых сортов пшеницы, вода питьевая) соль пищевая, бульон сухой овощной (морковь столовая сушеная, лук репчатый сушёный, петрушка сушеная, куркума молотая, перец чёрный молотый, чеснок сушёный, базилик сушёный), чеснок порошок, перец чёрный молотый)";https://vkusvill.ru/goods/sup-s-kurinymi-frikadelkami-i-pastoy-zvezdochki-61602.html;
