id;name;category;kcal_100g;protein_100g;fat_100g;carb_100g;portion_g;price;shop;tags;composition;url;photo
borshch-vegetarianskiy-20171.html;"Борщ ""Вегетарианский""";Готовая еда;88.2;1.6;3.4;12.8;;178.0;vkusvill;;Состав                                                                                                                                                       вода питьевая,картофель свежий, капуста белокочанная свежая, фасоль консервированная (фасоль красная, вода питьевая, соль пищевая), свекла столовая свежая, морковь столовая свежая, лук пассерованный (лук свежий репчатый,масло подсолнечное рафинированное дезодорированное), томатная паста массовая доля сухих растворимых веществ 25 % (вода питьевая, томаты свежие), уксус столовый 9 %,сахар, чеснок сушеный, соль пищевая, перец чёрный молотый;https://vkusvill.ru/goods/borshch-vegetarianskiy-20171.html;
kartofel-mini-s-chesnokom-zelenyu-zapechennyy-100604.html;Картофель мини с чесноком, зеленью запеченный;Готовая еда;102.1;;;;;308.0;vkusvill;;Состав                                                                                                                                                       Картофель мини запеченный (картофель мини свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, розмарин свежий), укроп свежий, петрушка свежая, чесночное масло (масло подсолнечное рафинированное дезодорированное, чеснок свежий) Продукция производится на предприятии, где используются аллергены: арахис, горчица, диоксид серы (сульфиты), злаки, содержащие глютен, кунжут, моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца;https://vkusvill.ru/goods/kartofel-mini-s-chesnokom-zelenyu-zapechennyy-100604.html;
semeynyy-format;Готовая еда: семейный формат;Готовая еда;50.0;;;;;200.0;vkusvill;;ом;https://vkusvill.ru/goods/gotovaya-eda/semeynyy-format/?PAGEN_1=2;
vtorye-blyuda-s-myasom;Вторые блюда с мясом;Готовая еда;;;;;;200.0;vkusvill;;е — знакомые овощи, но приготовленные на азиатский манер: с лёгкой пикантностью, ярким соусом кимчи и тонкими ароматами имбиря и чеснока;https://vkusvill.ru/goods/gotovaya-eda/vtorye-blyuda/vtorye-blyuda-s-myasom/;
veganskie-i-postnye-blyuda;Веганские и постные блюда;Готовая еда;;;;;;200.0;vkusvill;;ит постная закуска из нашего ассортимента — икра грибная с тостами;https://vkusvill.ru/goods/gotovaya-eda/veganskie-i-postnye-blyuda/;
rasstegay-s-myasom-na-teste-s-grechnevoy-mukoy-109599.html;Расстегай с мясом на тесте с гречневой мукой;Готовая еда;319.5;;;;;128.0;vkusvill;;Состав                                                                                                                                                       тесто (мука пшеничная хлебопекарная высшего сорта, вода питьевая, мука ржаная обдирная, мука гречневая, масло сливочное м;https://vkusvill.ru/goods/rasstegay-s-myasom-na-teste-s-grechnevoy-mukoy-109599.html;
salat-vinegret-s-marinovannoy-kapustoy-20665.html;Салат винегрет с маринованной капустой;Готовая еда;110.2;2.1;5.8;12.4;;178.0;vkusvill;;Состав                                                                                                                                                       ГЛОБАЛ ФУД ООО: свекла столовая отварная, картофель отварной, морковь столовая отварная, огурцы консервированные (огурцы свежие, уксус столовый 9%, соль пищевая, вода питьевая), капуста маринованная (капуста свежая, вода питьевая, масло подсолнечное рафинированное дезодорированное, уксус столовый 9%, сахар, соль пищевая, чеснок свежий, приправа гвоздика целая), горошек зелёный консервированный (горошек свежий зелёный мозговых сортов, соль пищевая, вода питьевая), соль пищевая, масло подсолнечное нерафинированное;https://vkusvill.ru/goods/salat-vinegret-s-marinovannoy-kapustoy-20665.html;
zharkoe-iz-govyadiny-s-gribami-99375.html;Жаркое из говядины с грибами;Готовая еда;120.7;;;;;328.0;vkusvill;;Состав                                                                                                                                                       Картофель свежий, вода питьевая, говядина (произведено из замороженного сырья), морковь столовая свежая, грибы шампиньоны свежие, лук репчатый свежий, перец  сладкий свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, чеснок свежий, крахмал картофельный, петрушка свежая (зелень), тимьян свежий, тимьян сушеный, лавровый лист;https://vkusvill.ru/goods/zharkoe-iz-govyadiny-s-gribami-99375.html;
krem-sup-s-lisichkami-i-belymi-gribami-98575.html;Крем-суп с лисичками и белыми грибами;Готовая еда;147.4;;;;;308.0;vkusvill;;Состав                                                                                                                                                       Крем-суп с лисичками и белыми грибами (вода питьевая, картофель свежий, сыр плавленый пастообразный м;https://vkusvill.ru/goods/krem-sup-s-lisichkami-i-belymi-gribami-98575.html;
pirozhki-sloenye-s-kapustoy-53190.html;Пирожки слоеные с капустой;Готовая еда;327.9;;82.5;;;210.0;vkusvill;;Состав                                                                                                                                                       Тесто (мука пшеничная хлебопекарная высший сорт, масло сладко-сливочное несоленое массовая доля жира 82,5%, молоко питьевое ультрапастеризованное массовая доля жира 3,2 %,  вода питьевая, сахар, яйцо куриное пищевое, дрожжи хлебопекарные прессованные), начинка (капуста белокочанная свежая, яйцо куриное пищевое, масло сладко-сливочное несоленое массовая доля жира 82,5%, соль пищевая);https://vkusvill.ru/goods/pirozhki-sloenye-s-kapustoy-53190.html;
